Date mutation,Valeur fonciere,No voie,Type de voie,Voie,Code ID commune,Code postal,Commune,Code departement,Code commune,1er lot,Surface Carrez du 1er lot,Type local,Surface reelle bati,Nombre pieces principales
2020-02-20 00:00:00,105500,541.0,RUE,DES MONTS JURA,28,1410.0,LELEX,1,210,67,"51,99",Appartement,56,2
2020-02-04 00:00:00,152900,386.0,CHE,DES SOUPIRS,17,1300.0,BELLEY,1,34,14,"63,17",Appartement,63,3
2020-02-05 00:00:00,352300,663.0,RTE,BLANCHE,14,1170.0,SEGNY,1,399,2,"84,97",Appartement,88,3
2020-02-17 00:00:00,215000,377.0,RUE,DES ABATTOIRS,9,1170.0,GEX,1,173,51,"88,7",Appartement,87,4
2020-02-14 00:00:00,128460,60.0,ALL,DES FRERES CAUDRON,10,1500.0,AMBERIEU-EN-BUGEY,1,4,101,"50,64",Appartement,51,2
2020-02-14 00:00:00,90500,86.0,RUE,DE LA REPUBLIQUE,4,1200.0,VALSERHONE,1,33,5,38,Appartement,39,1
2020-02-11 00:00:00,305500,148.0,IMP,DU SAUGY,18,1210.0,ORNEX,1,281,19,"70,53",Appartement,71,3
2020-02-18 00:00:00,430000,77.0,LOT,CLOS CHAMP VRILLARD,11,1170.0,CESSY,1,71,1,"105,68",Maison,143,6
2020-02-04 00:00:00,152470,27.0,RLE,DE L EGLISE,9,1170.0,GEX,1,173,1,"46,12",Appartement,53,3
2020-02-13 00:00:00,55000,5.0,PL,DE L EGLISE,15,1150.0,LAGNIEU,1,202,19,"37,63",Appartement,39,2
2020-02-18 00:00:00,"465660,47",94.0,ALL,SIMON VAN DER MEER,20,1280.0,PREVESSIN-MOENS,1,313,97,"87,38",Appartement,89,4
2020-02-12 00:00:00,167550,242.0,RUE,DE PRE BAILLY,9,1170.0,GEX,1,173,40,"50,33",Appartement,50,2
2020-02-11 00:00:00,212862,8.0,RTE,DE DIVONNE,29,1170.0,VESANCY,1,436,3,"134,17",Appartement,136,4
2020-02-19 00:00:00,54000,24.0,RUE,LAMARTINE,4,1200.0,VALSERHONE,1,33,1,"47,65",Appartement,62,3
2020-02-14 00:00:00,390000,88.0,RUE,DU PETIT CHAMP,25,1710.0,THOIRY,1,419,5,"99,13",Maison,102,4
2020-02-24 00:00:00,160000,27.0,RUE,DES VERGERS,25,1710.0,THOIRY,1,419,112,"43,42",Appartement,43,2
2020-02-25 00:00:00,156580,250.0,RUE,DES FRENES,30,1580.0,IZERNORE,1,192,12,"83,6",Maison,83,4
2020-02-18 00:00:00,129258,13.0,RUE,JEAN MONNET,10,1500.0,AMBERIEU-EN-BUGEY,1,4,5,"54,65",Appartement,55,2
2020-02-28 00:00:00,210000,2.0,RUE,DE LA BATISSE,10,1500.0,AMBERIEU-EN-BUGEY,1,4,26,"81,15",Appartement,81,3
2020-02-17 00:00:00,189350,33.0,RUE,DE GENEVE,6,1630.0,ST-GENIS-POUILLY,1,354,35,"53,43",Appartement,56,3
2020-02-21 00:00:00,310000,30.0,RUE,DE VERSOIX,13,1210.0,FERNEY-VOLTAIRE,1,160,20,"74,85",Appartement,75,3
2020-02-25 00:00:00,435000,322.0,RUE,DE BRETIGNY,18,1210.0,ORNEX,1,281,41,"90,33",Maison,90,4
2020-02-20 00:00:00,505000,923.0,RTE,DE MURY,31,1170.0,ECHENEVEX,1,153,5,"99,39",Maison,86,4
2020-02-25 00:00:00,442100,77.0,RUE,LA PIECE,1,1170.0,CHEVRY,1,103,43,"123,16",Maison,118,5
2020-02-17 00:00:00,506000,103.0,MAIL,DU NEUTRINO,20,1280.0,PREVESSIN-MOENS,1,313,924,"110,13",Maison,110,5
2020-02-12 00:00:00,292000,33.0,MAIL,DU NEUTRINO,20,1280.0,PREVESSIN-MOENS,1,313,306,"71,43",Appartement,70,3
2020-03-03 00:00:00,200000,75.0,RUE,DES VERGERS,25,1710.0,THOIRY,1,419,45,"56,02",Appartement,56,3
2020-02-27 00:00:00,315800,27.0,RTE,DE CESSY,32,1210.0,VERSONNEX,1,435,11,"85,12",Appartement,85,4
2020-02-28 00:00:00,167000,60.0,RUE,DE SAVOIE,4,1200.0,VALSERHONE,1,33,141,75,Appartement,74,4
2020-02-25 00:00:00,640000,90.0,RUE,DE LAUSANNE,2,1220.0,DIVONNE-LES-BAINS,1,143,100,"135,68",Appartement,133,4
2020-02-28 00:00:00,74000,72.0,RUE,DE LA REPUBLIQUE,10,1500.0,AMBERIEU-EN-BUGEY,1,4,1,"35,59",Appartement,33,2
2020-03-04 00:00:00,232550,198.0,RTE,DE VOUVRAY,4,1200.0,VALSERHONE,1,33,11,"62,38",Appartement,63,3
2020-03-04 00:00:00,90000,198.0,RTE,DE VOUVRAY,4,1200.0,VALSERHONE,1,33,21,"92,04",Appartement,100,4
2020-03-09 00:00:00,282000,786.0,AV,DES VOIRONS,2,1220.0,DIVONNE-LES-BAINS,1,143,86,"46,05",Appartement,46,2
2020-03-03 00:00:00,152000,256.0,AV,DE BELLE FERME,9,1170.0,GEX,1,173,24,"34,56",Appartement,34,2
2020-03-17 00:00:00,164000,1143.0,RUE,CLAIRES FONTAINES,33,1150.0,SAINT-VULBAS,1,390,3,"43,23",Appartement,43,2
2020-03-05 00:00:00,389500,40.0,RUE,VICTOR HUGO,13,1210.0,FERNEY-VOLTAIRE,1,160,27,"83,82",Maison,80,4
2020-03-11 00:00:00,43000,150.0,RUE,DE LA REPUBLIQUE,17,1300.0,BELLEY,1,34,122,"38,67",Appartement,39,2
2020-02-28 00:00:00,139130,14.0,RUE,CASTELLION,7,1100.0,OYONNAX,1,283,11,88,Appartement,92,3
2020-03-11 00:00:00,229100,38.0,AV,DE VESSY,13,1210.0,FERNEY-VOLTAIRE,1,160,109,"56,96",Appartement,57,2
2020-03-10 00:00:00,222450,256.0,AV,DE BELLE FERME,9,1170.0,GEX,1,173,31,"55,4",Appartement,55,3
2020-03-16 00:00:00,147500,36.0,RUE,DES APOTRES,10,1500.0,AMBERIEU-EN-BUGEY,1,4,10,"74,72",Appartement,79,2
2020-03-10 00:00:00,440000,91.0,,GRAND' RUE,34,1550.0,COLLONGES,1,109,6,"295,21",Appartement,190,6
2020-03-02 00:00:00,495000,88.0,RUE,DE LA PIERRE,31,1170.0,ECHENEVEX,1,153,1,"222,97",Maison,170,3
2020-03-11 00:00:00,510000,223.0,RUE,DES PRALETS,18,1210.0,ORNEX,1,281,1,"113,52",Appartement,113,4
2020-03-27 00:00:00,170000,232.0,RUE,DE LA ROCHETTE,35,1260.0,CHAMPAGNE-EN-VALROMEY,1,79,1,"127,2",Appartement,127,4
2020-03-03 00:00:00,251500,3.0,RUE,GEORGES CHARPAK,6,1630.0,ST-GENIS-POUILLY,1,354,15,"47,6",Appartement,49,2
2020-03-19 00:00:00,98000,9.0,RUE,DE LA FLAUDIERE,36,1640.0,JUJURIEUX,1,199,14,"65,29",Appartement,74,3
2020-03-25 00:00:00,132300,392.0,RTE,DE VOUVRAY,4,1200.0,VALSERHONE,1,33,79,"81,24",Appartement,83,4
2020-03-10 00:00:00,126000,5186.0,,MATAFELON,37,1580.0,MATAFELON-GRANGES,1,240,2,"42,89",Appartement,32,2
2020-03-16 00:00:00,131500,8.0,RUE,GEORGES MARIN,4,1200.0,VALSERHONE,1,33,77,"69,66",Appartement,69,3
2020-03-12 00:00:00,266960,6066.0,RUE,DES BATTOIRS,25,1710.0,THOIRY,1,419,102,"69,65",Appartement,69,3
2020-03-31 00:00:00,114500,1.0,ESPA,CHARLES DE GAULLE,7,1100.0,OYONNAX,1,283,28,"64,44",Appartement,64,3
2020-03-11 00:00:00,181970,54.0,RUE,ANTOINE JACQUET,4,1200.0,VALSERHONE,1,33,216,"88,83",Appartement,88,4
2020-03-19 00:00:00,70000,5208.0,,LE BULOZ,38,1260.0,HAUT-VALROMEY,1,187,17,"35,3",Appartement,35,3
2020-04-01 00:00:00,45000,7.0,RUE,DU DOCTEUR GREZEL,23,1130.0,NANTUA,1,269,10,"45,5",Appartement,40,2
2020-04-07 00:00:00,375000,247.0,CHE,DE PRE DE PLANCHE,20,1280.0,PREVESSIN-MOENS,1,313,44,"73,77",Maison,77,4
2020-03-18 00:00:00,247000,120.0,CHE,DU MARTINET,11,1170.0,CESSY,1,71,23,"67,94",Appartement,67,3
2020-03-16 00:00:00,16300,12.0,RUE,DU MURET,7,1100.0,OYONNAX,1,283,13,"22,2",Appartement,30,1
2020-03-16 00:00:00,60000,47.0,RUE,DU CHANE,39,1100.0,ARBENT,1,14,5,"48,38",Appartement,48,2
2020-03-31 00:00:00,164000,1.0,RUE,JOLIOT CURIE,4,1200.0,VALSERHONE,1,33,58,"56,65",Appartement,56,2
2020-03-17 00:00:00,93585,15.0,CHE,DU LAVOIR,33,1150.0,SAINT-VULBAS,1,390,22,"32,27",Appartement,32,2
2020-04-03 00:00:00,210000,68.0,RUE,DES USINIERS,9,1170.0,GEX,1,173,3,"61,54",Appartement,68,4
2020-03-14 00:00:00,120000,5001.0,ALL,HONORE DE BALZAC,17,1300.0,BELLEY,1,34,55,"82,37",Maison,80,4
2020-04-10 00:00:00,50000,9.0,RUE,DES FRERES SERPOLLET,5,1350.0,CULOZ,1,138,1,"53,81",Appartement,53,3
2020-04-03 00:00:00,174850,231.0,RUE,DE LA RABOUDIERE,40,1360.0,LOYETTES,1,224,22,"71,8",Appartement,71,3
