regrgp_nom,reg_nom,dep_nom,com_code,com_nom_maj,com_nom,dep_code,dep_id,reg_code
Province,Pays de la Loire,Maine-et-Loire,49114,COURLEON,CourlÃ©on,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86114,JARDRES,Jardres,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49117,LA DAGUENIERE,La DagueniÃ¨re,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86123,LAVAUSSEAU,Boivre-la-VallÃ©e,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49119,DAUMERAY,Daumeray,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86128,LENCLOITRE,LencloÃ®tre,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49122,DENEZE-SOUS-LE-LUDE,DÃ©nezÃ©-sous-le-Lude,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86130,LEUGNY,Leugny,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49123,DISTRE,DistrÃ©,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86143,MAIRE,MairÃ©,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49128,ECHEMIRE,Ã‰chemirÃ©,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86148,MARNAY,Marnay,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49130,ECUILLE,Ã‰cuillÃ©,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86156,MESSEME,MessemÃ©,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49132,ETRICHE,Ã‰trichÃ©,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86162,MONDION,Mondion,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49138,FONTAINE-GUERIN,Les Bois d'Anjou,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86177,NEUVILLE-DE-POITOU,Neuville-de-Poitou,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49150,GENNETEIL,Genneteil,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86183,LES ORMES,Les Ormes,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49155,GREZ-NEUVILLE,Grez-Neuville,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86197,POUANT,Pouant,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49159,HUILLE,HuillÃ©,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86202,LA PUYE,La Puye,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49162,JALLAIS,Jallais,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86206,RASLAY,Raslay,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49172,LANDEMONT,Landemont,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86213,ROUILLE,RouillÃ©,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49173,LASSE,Lasse,49,D049,52
